TimePST,apartment,workplace,apartmentToWorkplace,workplaceToApartment
2025-08-21 13:38:00 PDT,SLU,Renton,24.133333333333333,29.0
2025-08-21 13:38:00 PDT,WestSeattle,Kent,29.716666666666665,27.833333333333332
2025-08-21 13:38:00 PDT,WestSeattle,Renton,23.5,23.533333333333335
2025-08-21 13:38:00 PDT,Issaquah,Kent,38.11666666666667,37.083333333333336
2025-08-21 13:38:00 PDT,Issaquah,Renton,31.816666666666666,27.016666666666666
2025-08-21 13:39:01 PDT,QueenAnne,Kent,32.733333333333334,34.93333333333333
2025-08-21 13:39:01 PDT,QueenAnne,Renton,26.716666666666665,30.25
2025-08-21 13:39:01 PDT,SLU,Kent,30.266666666666666,33.516666666666666
2025-08-21 13:39:01 PDT,SLU,Renton,24.35,28.683333333333334
2025-08-21 13:39:01 PDT,WestSeattle,Kent,29.533333333333335,27.783333333333335
2025-08-21 13:39:01 PDT,WestSeattle,Renton,23.6,23.45
2025-08-21 13:39:01 PDT,Issaquah,Kent,38.583333333333336,36.88333333333333
2025-08-21 13:39:01 PDT,Issaquah,Renton,31.95,27.016666666666666
2025-08-21 14:00:00 PDT,QueenAnne,Kent,35.266666666666666,35.31666666666667
2025-08-21 14:00:00 PDT,QueenAnne,Renton,28.5,32.0
2025-08-21 14:00:00 PDT,SLU,Kent,34.233333333333334,34.71666666666667
2025-08-21 14:00:00 PDT,SLU,Renton,27.5,28.916666666666668
2025-08-21 14:00:00 PDT,WestSeattle,Kent,30.083333333333332,27.366666666666667
2025-08-21 14:00:00 PDT,WestSeattle,Renton,23.4,22.0
2025-08-21 14:00:00 PDT,Issaquah,Kent,42.1,36.61666666666667
2025-08-21 14:00:00 PDT,Issaquah,Renton,33.5,28.366666666666667
2025-08-21 14:30:00 PDT,QueenAnne,Kent,38.56666666666667,41.25
2025-08-21 14:30:00 PDT,QueenAnne,Renton,33.06666666666667,38.916666666666664
2025-08-21 14:30:00 PDT,SLU,Kent,38.93333333333333,38.35
2025-08-21 14:30:00 PDT,SLU,Renton,30.516666666666666,34.61666666666667
2025-08-21 14:30:00 PDT,WestSeattle,Kent,32.45,30.05
2025-08-21 14:30:00 PDT,WestSeattle,Renton,25.016666666666666,25.25
2025-08-21 14:30:00 PDT,Issaquah,Kent,44.13333333333333,39.25
2025-08-21 14:30:00 PDT,Issaquah,Renton,34.916666666666664,28.133333333333333
2025-08-21 15:00:01 PDT,QueenAnne,Kent,47.46666666666667,37.9
2025-08-21 15:00:01 PDT,QueenAnne,Renton,37.86666666666667,34.61666666666667
2025-08-21 15:00:01 PDT,SLU,Kent,41.083333333333336,
2025-08-21 15:00:01 PDT,SLU,Renton,,
2025-08-21 15:00:01 PDT,WestSeattle,Kent,,
2025-08-21 15:00:01 PDT,WestSeattle,Renton,,
2025-08-21 15:00:01 PDT,Issaquah,Kent,,
2025-08-21 15:00:01 PDT,Issaquah,Renton,,
2025-08-21 17:30:01 PDT,QueenAnne,Kent,38.61666666666667,34.86666666666667
2025-08-21 17:30:01 PDT,QueenAnne,Renton,32.38333333333333,33.266666666666666
2025-08-21 17:30:01 PDT,SLU,Kent,33.96666666666667,34.666666666666664
2025-08-21 17:30:01 PDT,SLU,Renton,27.95,30.85
2025-08-21 17:30:01 PDT,WestSeattle,Kent,31.95,28.85
2025-08-21 17:30:01 PDT,WestSeattle,Renton,25.866666666666667,24.35
2025-08-21 17:30:01 PDT,Issaquah,Kent,53.38333333333333,39.233333333333334
2025-08-21 17:30:01 PDT,Issaquah,Renton,47.21666666666667,30.25
2025-08-22 06:00:01 PDT,QueenAnne,Kent,,27.916666666666668
2025-08-22 06:00:01 PDT,QueenAnne,Renton,20.583333333333332,21.816666666666666
2025-08-22 06:00:01 PDT,SLU,Kent,22.933333333333334,28.333333333333332
2025-08-22 06:00:01 PDT,SLU,Renton,18.883333333333333,21.7
2025-08-22 06:00:01 PDT,WestSeattle,Kent,23.316666666666666,25.85
2025-08-22 06:00:01 PDT,WestSeattle,Renton,19.133333333333333,19.85
2025-08-22 06:00:01 PDT,Issaquah,Kent,25.083333333333332,36.53333333333333
2025-08-22 06:00:01 PDT,Issaquah,Renton,20.583333333333332,27.483333333333334
2025-08-22 06:30:01 PDT,QueenAnne,Kent,24.366666666666667,31.066666666666666
2025-08-22 06:30:01 PDT,QueenAnne,Renton,20.85,25.6
2025-08-22 06:30:01 PDT,SLU,Kent,24.1,32.03333333333333
2025-08-22 06:30:01 PDT,SLU,Renton,19.466666666666665,26.266666666666666
2025-08-22 06:30:01 PDT,WestSeattle,Kent,24.016666666666666,29.466666666666665
2025-08-22 06:30:01 PDT,WestSeattle,Renton,19.85,23.116666666666667
2025-08-22 06:30:01 PDT,Issaquah,Kent,25.6,38.6
2025-08-22 06:30:01 PDT,Issaquah,Renton,20.766666666666666,30.066666666666666
2025-08-22 07:00:01 PDT,QueenAnne,Kent,25.683333333333334,33.15
2025-08-22 07:00:01 PDT,QueenAnne,Renton,21.616666666666667,25.95
2025-08-22 07:00:01 PDT,SLU,Kent,24.516666666666666,34.71666666666667
2025-08-22 07:00:01 PDT,SLU,Renton,19.716666666666665,28.15
2025-08-22 07:00:01 PDT,WestSeattle,Kent,24.95,32.63333333333333
2025-08-22 07:00:01 PDT,WestSeattle,Renton,20.083333333333332,25.6
2025-08-22 07:00:01 PDT,Issaquah,Kent,26.533333333333335,40.2
2025-08-22 07:00:01 PDT,Issaquah,Renton,21.416666666666668,31.45
2025-08-22 07:30:01 PDT,QueenAnne,Kent,27.683333333333334,37.13333333333333
2025-08-22 07:30:01 PDT,QueenAnne,Renton,23.083333333333332,31.533333333333335
2025-08-22 07:30:01 PDT,SLU,Kent,24.816666666666666,40.13333333333333
2025-08-22 07:30:01 PDT,SLU,Renton,20.083333333333332,34.18333333333333
2025-08-22 07:30:01 PDT,WestSeattle,Kent,26.066666666666666,33.583333333333336
2025-08-22 07:30:01 PDT,WestSeattle,Renton,21.533333333333335,26.916666666666668
2025-08-22 07:30:01 PDT,Issaquah,Kent,27.233333333333334,40.166666666666664
2025-08-22 07:30:01 PDT,Issaquah,Renton,22.733333333333334,32.46666666666667
2025-08-22 08:00:00 PDT,QueenAnne,Kent,28.033333333333335,37.6
2025-08-22 08:00:00 PDT,QueenAnne,Renton,23.083333333333332,32.05
2025-08-22 08:00:00 PDT,SLU,Kent,25.683333333333334,39.88333333333333
2025-08-22 08:00:00 PDT,SLU,Renton,20.633333333333333,33.68333333333333
2025-08-22 08:00:00 PDT,WestSeattle,Kent,25.766666666666666,30.283333333333335
2025-08-22 08:00:00 PDT,WestSeattle,Renton,20.7,23.8
2025-08-22 08:00:00 PDT,Issaquah,Kent,27.25,40.4
2025-08-22 08:00:00 PDT,Issaquah,Renton,23.133333333333333,32.9
2025-08-22 08:30:01 PDT,QueenAnne,Kent,30.166666666666668,32.983333333333334
2025-08-22 08:30:01 PDT,QueenAnne,Renton,24.95,28.9
2025-08-22 08:30:01 PDT,SLU,Kent,25.816666666666666,35.46666666666667
2025-08-22 08:30:01 PDT,SLU,Renton,20.666666666666668,31.866666666666667
